Profile ID	Gene	(Sub)Type specificity
mkCas0165	csx19	CAS-III-D
mkCas0167	csx19	CAS-III-D
mkCas0178	csx19	CAS-III-D
mkCas0188	csx19	CAS-III-D
mkCas0064	csx22	CAS-III-A
mkCas0135	csx24	CAS-III-D
mkCas0197	csx25	CAS-III-D
mkCas0156	csx26	CAS-III-D
cd09652	cas6	"CAS-I,CAS-III"
cd09703	cas6	"CAS-I,CAS-III"
cd09733	cas6	"CAS-I,CAS-III"
cd09759	cas6	CAS-I-A
cd09760	cas6	CAS-III
cls000004	cas6	"CAS-I,CAS-III"
cls000976	cas6	CAS-III
COG1583	cas6	"CAS-I,CAS-III,CAS-IV"
COG5551	cas6	CAS-III
mkCas0062	cas6	"CAS-I,CAS-III"
mkCas0066	cas6	"CAS-I,CAS-III"
mkCas0091	cas6	"CAS-I,CAS-III"
mkCas0166	cas6	"CAS-I,CAS-III"
pfam01881	cas6	"CAS-I,CAS-III"
pfam09559	cas6	"CAS-I,CAS-III"
pfam10040	cas6	"CAS-III,CAS-IV"
cd09664	cas6e	CAS-I-E
cd09727	cas6e	CAS-I-E
pfam08798	cas6e	"CAS-I-E,CAS-IV"
cd09674	cas6f	CAS-I-F
cd09739	cas6f	"CAS-I-F,CAS-IV"
pfam09618	cas6f	CAS-I-F
cd09639	cas3	CAS-I
cd09696	cas3	CAS-I-U
cd09710	cas3	CAS-I-D
COG1203	cas3	CAS-I
mkCas0139	cas3	CAS-I
cd09673	cas3f	CAS-I-F
cd09641	cas3HD	CAS-I
cd10013	cas3HD	CAS-I
COG2254	cas3HD	CAS-I
cd09644	csn2	CAS-II-A
cd09758	csn2	CAS-II-A
cd12217	csn2	CAS-II-A
cd12218	csn2	CAS-II-A
cls000024	csn2	CAS-II-A
pfam09711	csn2	CAS-II-A
mkCas0116	csx21	"CAS-III-A,CAS-III-D"
mkCas0160	csx23	CAS-III-D
cd09643	cas9	"CAS-II-A,CAS-II-B,CAS-II-C"
cd09704	cas9	CAS-II-B
COG3513	cas9	"CAS-II-A,CAS-II-B,CAS-II-C"
mkCas0193	cas9	"CAS-II-A,CAS-II-B,CAS-II-C"
